original_title,year,genres,numvotes,averagerating,production_budget,domestic_gross,worldwide_gross
Ant-Man and the Wasp,2018,"Action,Adventure,Comedy",244024,7.1,130000000,216648740,623144660
Denial,2016,"Biography,Drama",16593,6.7,10000000,4073448,9263940
Patti Cake$,2017,"Drama,Music",8581,6.7,1000000,800148,1471090
Five Feet Apart,2019,"Drama,Romance",10645,7.2,7000000,45729221,80504421
Please Give,2010,"Comedy,Drama",10652,6.6,3000000,4033574,4570178
Shrek Forever After,2010,"Adventure,Animation,Comedy",167532,6.3,165000000,238736787,756244673
The Thing,2011,"Horror,Mystery,Sci-Fi",111900,6.2,38000000,16999934,27573078
Rabbit Hole,2010,Drama,45357,7.0,5000000,2229058,6205034
Alice in Wonderland,2010,"Adventure,Family,Fantasy",358813,6.5,200000000,334191110,1025491110
Diary of a Wimpy Kid: Dog Days,2012,"Comedy,Family",19571,6.3,22000000,49008662,77229695
Rocketman,2019,"Biography,Drama,Music",24266,7.7,41000000,57342725,108642725
Into the Storm,2014,"Action,Adventure,Drama",60894,5.8,50000000,47602194,150429371
Two Night Stand,2014,"Comedy,Romance",60510,6.4,1600000,15600,868081
Yeh Jawaani Hai Deewani,2013,"Comedy,Drama,Musical",33971,7.1,8300000,3827466,50827466
Transcendence,2014,"Action,Drama,Sci-Fi",204481,6.3,100000000,23022309,103039258
Katy Perry: Part of Me,2012,"Documentary,Music",13034,5.9,12000000,25326071,32700439
Dear White People,2014,"Comedy,Drama,Romance",23321,6.1,1250000,4404154,5403771
Love the Coopers,2015,"Comedy,Fantasy,Romance",18018,5.8,18000000,26302731,42227490
A Haunted House 2,2014,"Comedy,Fantasy",18085,4.7,4000000,17329487,21206861
Batman v Superman: Dawn of Justice,2016,"Action,Adventure,Fantasy",576909,6.5,250000000,330360194,867500281
Dolphin Tale 2,2014,"Drama,Family",7579,6.4,36000000,42024533,57824533
The Boy Next Door,2015,"Horror,Thriller",34816,4.7,4000000,36006065,53401938
Risen,2016,"Action,Adventure,Drama",22813,6.3,20000000,36880033,46255763
Legend,2015,"Biography,Crime,Drama",138947,7.0,25000000,1872994,42425450
My All-American,2015,"Biography,Drama,Sport",5058,7.2,20000000,2246000,2246000
Lion,2016,"Biography,Drama",181601,8.1,12000000,51739495,149570720
Solo: A Star Wars Story,2018,"Action,Adventure,Fantasy",226243,7.0,275000000,213767512,393151347
Thor,2011,"Action,Adventure,Fantasy",683264,7.0,150000000,181030624,449326618
Priest,2011,"Action,Adventure,Fantasy",108320,5.7,60000000,29136626,84154026
How to Train Your Dragon,2010,"Action,Adventure,Animation",611299,8.1,165000000,217581232,494870992
The East,2013,"Adventure,Drama,Thriller",46804,6.8,6500000,2274649,3027956
Rush,2013,"Action,Biography,Drama",393437,8.1,38000000,26947624,98230839
Machete Kills,2013,"Action,Crime,Sci-Fi",69968,5.6,20000000,8008161,18273009
The Finest Hours,2016,"Action,Drama,History",55981,6.8,70000000,27569558,49252761
Dumb and Dumber To,2014,"Adventure,Comedy",118646,5.6,40000000,86208010,156553592
Pixels,2015,"Action,Comedy,Sci-Fi",119789,5.6,90000000,78765986,244041804
St. Vincent,2014,"Comedy,Drama",89372,7.3,13000000,44137712,54837234
Muppets Most Wanted,2014,"Adventure,Comedy,Crime",29018,6.4,55000000,51178893,79312301
Wild,2014,"Adventure,Biography,Drama",110138,7.1,15000000,37880356,52460543
Endless Love,2014,"Drama,Romance",37869,6.3,20000000,23438250,34718173
The Babadook,2014,"Drama,Horror",171411,6.8,2000000,950792,7482387
Unfinished Business,2015,"Comedy,Drama",29004,5.4,35000000,10219501,13214051
Carol,2015,"Drama,Romance",100680,7.2,11800000,12711491,42843521
Gods of Egypt,2016,"Action,Adventure,Fantasy",95111,5.4,140000000,31153464,138836756
The Family,2013,"Comedy,Crime,Thriller",102576,6.3,30000000,36918811,51078541
Road Hard,2015,Comedy,1681,6.1,1500000,113169,113169
Ferdinand,2017,"Adventure,Animation,Comedy",40229,6.7,111000000,84410380,289847930
10 Days in a Madhouse,2015,Drama,1114,6.7,12000000,14616,14616
The Girl on the Train,2016,"Crime,Drama,Mystery",150977,6.5,45000000,75395035,174278214
Kong: Skull Island,2017,"Action,Adventure,Fantasy",237720,6.6,185000000,168052812,561072059
Swiss Army Man,2016,"Adventure,Comedy,Drama",91736,7.0,3000000,4210454,5837111
Why Him?,2016,Comedy,89628,6.2,38000000,60323786,117425156
Collateral Beauty,2016,"Drama,Romance",78764,6.8,36000000,31016021,85309093
The Shape of Water,2017,"Adventure,Drama,Fantasy",308112,7.3,19500000,63859435,195790794
Proud Mary,2018,"Action,Crime,Drama",6805,4.9,30000000,20868638,21709539
Serenity,2019,"Drama,Mystery,Sci-Fi",17904,5.3,25000000,8547045,11367029
Puss in Boots,2011,"Action,Adventure,Animation",133355,6.6,130000000,149260504,554987477
"Hail, Caesar!",2016,"Comedy,Drama,Music",111422,6.3,22000000,30080225,64160680
Free State of Jones,2016,"Action,Biography,Drama",45135,6.9,50000000,20810036,23237252
Leap Year,2010,"Comedy,Romance",86125,6.5,19000000,25918920,32618920
Get Him to the Greek,2010,"Adventure,Comedy,Music",161653,6.4,40000000,61153526,91455875
Salvation Boulevard,2011,"Action,Comedy,Drama",4220,5.3,5500000,28468,28468
Easy A,2010,"Comedy,Drama,Romance",330125,7.1,8000000,58401464,76200721
The Last Exorcism,2010,"Drama,Horror,Thriller",45815,5.6,1800000,41034350,70165900
When the Bough Breaks,2016,"Crime,Drama,Horror",4729,5.1,10000000,29747603,30768449
